,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_F,Pos_G,Pos
167,16,1,17.4,1.0,2.5,0.4,0.3,0.9,0.357,0.7,1.6,0.423,0.463,0.5,0.9,0.571,0.1,1.4,1.5,2.1,0.4,0.2,1.5,1.3,2.8,0.0,0.0,1.0,G
168,18,18,17.0,1.3,2.3,0.548,0.0,0.0,0.28782012195121953,1.3,2.3,0.548,0.548,0.1,0.6,0.182,1.2,2.7,3.9,0.4,0.6,0.4,0.7,1.2,2.7,0.0,1.0,0.0,F
169,17,17,36.2,6.5,14.6,0.444,2.9,7.6,0.388,3.5,7.0,0.504,0.544,3.8,4.8,0.79,0.6,5.1,5.8,1.7,0.6,0.5,2.6,1.9,19.6,0.0,0.0,1.0,G
170,18,18,35.6,6.4,14.2,0.453,3.4,7.8,0.433,3.1,6.4,0.478,0.572,2.3,2.8,0.824,0.9,3.1,3.9,1.9,1.5,0.2,1.6,1.9,18.6,0.0,0.0,1.0,G
171,18,18,36.0,7.2,15.7,0.456,1.1,2.9,0.365,6.1,12.8,0.476,0.489,2.7,3.6,0.754,1.4,5.1,6.5,1.7,1.1,0.2,1.7,1.8,18.1,0.0,0.0,1.0,G
172,16,16,34.6,5.8,14.3,0.408,2.3,6.6,0.349,3.5,7.6,0.459,0.489,2.6,3.3,0.792,0.2,2.3,2.4,2.3,0.9,0.0,2.7,0.8,16.6,0.0,0.0,1.0,G
173,18,18,29.2,6.1,11.2,0.542,1.2,2.9,0.423,4.8,8.3,0.584,0.597,2.8,3.4,0.806,1.2,2.9,4.1,1.0,0.7,0.4,1.4,2.1,16.1,0.0,1.0,0.0,F
174,16,16,33.3,5.8,12.4,0.467,2.8,6.5,0.433,3.0,5.9,0.505,0.58,1.4,1.9,0.71,0.5,1.9,2.4,2.6,1.1,0.1,2.1,1.9,15.8,0.0,0.0,1.0,G
175,16,16,34.9,4.7,12.3,0.381,1.3,4.7,0.28,3.4,7.6,0.443,0.434,3.4,4.1,0.833,0.4,2.4,2.9,5.3,1.8,0.0,2.9,1.3,14.1,0.0,0.0,1.0,G
176,18,18,34.6,4.7,10.6,0.442,1.3,3.8,0.338,3.4,6.8,0.5,0.503,3.5,4.8,0.733,1.7,6.8,8.5,1.7,0.9,0.0,1.9,3.2,14.1,0.0,0.0,1.0,G
177,16,16,34.6,4.9,12.9,0.377,1.4,4.6,0.301,3.5,8.4,0.418,0.43,2.6,3.8,0.689,0.3,2.8,3.0,3.4,1.4,0.2,2.7,2.1,13.8,0.0,0.0,1.0,G
178,18,17,35.9,4.8,10.6,0.458,1.5,3.7,0.409,3.3,6.9,0.484,0.529,2.5,3.8,0.652,1.4,4.8,6.3,2.5,0.8,0.7,2.6,1.8,13.7,0.0,0.0,1.0,G
179,18,16,33.0,4.8,8.9,0.534,1.1,3.1,0.339,3.7,5.8,0.638,0.593,2.8,3.7,0.761,1.8,6.2,8.0,1.9,1.2,0.4,1.4,2.4,13.4,0.0,1.0,0.0,F
180,9,2,26.8,4.2,9.6,0.442,2.9,6.0,0.481,1.3,3.6,0.375,0.593,2.0,2.2,0.9,0.1,1.1,1.2,1.2,0.6,0.1,2.2,1.2,13.3,0.0,0.0,1.0,G
181,18,18,32.3,4.0,10.0,0.4,1.4,4.2,0.329,2.6,5.8,0.452,0.469,3.7,4.7,0.786,0.4,2.0,2.4,3.2,0.9,0.2,2.0,2.3,13.1,0.0,0.0,1.0,G
182,14,14,32.7,4.3,11.0,0.39,1.7,5.1,0.333,2.6,5.9,0.439,0.468,2.6,3.4,0.787,0.5,2.7,3.2,5.3,2.4,0.0,2.8,2.6,12.9,0.0,0.0,1.0,G
183,18,18,29.9,4.6,9.3,0.488,0.0,0.1,0.0,4.6,9.2,0.494,0.488,3.4,4.6,0.747,2.5,4.0,6.5,1.7,1.2,0.3,1.8,2.6,12.6,0.0,1.0,0.0,F
184,18,18,32.9,3.9,8.9,0.441,2.3,6.2,0.375,1.6,2.7,0.592,0.571,2.2,2.6,0.848,0.2,1.4,1.6,1.6,1.3,0.1,1.7,2.3,12.4,0.0,0.0,1.0,G
185,17,10,26.1,4.2,10.5,0.397,1.9,5.8,0.323,2.3,4.7,0.488,0.486,2.0,2.5,0.81,0.2,2.7,2.9,1.2,0.8,0.2,1.2,1.8,12.2,0.0,0.0,1.0,G
